File: c05-report-object-projection-runtime-race.test
Type: cpu
Time: 2026-09-14 17:45:54 CST
Duration: 563.87s, Total samples = 1049.33s (186.10%)
Showing nodes accounting for 921.80s, 87.85% of 1049.33s total
Dropped 2277 nodes (cum <= 5.25s)
      flat  flat%   sum%        cum   cum%
         0     0% 62.76%     47.98s  4.57%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).loadUsers
     0.03s 0.0029% 62.76%     47.98s  4.57%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity/projection/user.(*Store).ListWithinDataScope
         0     0% 62.76%     47.31s  4.51%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withMetrics.func14
         0     0% 62.76%     47.27s  4.50%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).ListIdentityRoles
         0     0% 62.76%     47.27s  4.50%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).loadRoles
     0.02s 0.0019% 62.76%     47.27s  4.50%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity/authorization/role.(*Store).List
     2.46s  0.23% 63.00%     45.39s  4.33%  encoding/json.structEncoder.encode
     0.01s 0.00095% 63.00%     44.09s  4.20%  encoding/json.sliceEncoder.encode
     0.35s 0.033% 63.03%     44.07s  4.20%  encoding/json.arrayEncoder.encode
         0     0% 63.03%     42.90s  4.09%  modernc.org/sqlite/lib._btreeBeginTrans
         0     0% 63.03%     42.90s  4.09%  modernc.org/sqlite/lib._sqlite3BtreeBeginTrans
     0.02s 0.0019% 63.04%     42.80s  4.08%  modernc.org/sqlite/lib._lockBtree
         0     0% 63.04%     42.56s  4.06%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).validateAgentSharingSubjects
         0     0% 63.04%     42.56s  4.06%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).ValidateConversationAgentSubjects
         0     0% 63.04%     42.04s  4.01%  runtime.stopm
     0.01s 0.00095% 63.04%     41.98s  4.00%  modernc.org/sqlite/lib._sqlite3PagerSharedLock
     0.01s 0.00095% 63.04%     41.94s  4.00%  modernc.org/sqlite/lib._pagerBeginReadTransaction
         0     0% 63.04%     41.88s  3.99%  modernc.org/sqlite/lib._walBeginReadTransaction
         0     0% 63.04%     41.88s  3.99%  modernc.org/sqlite/lib._walTryBeginRead
         0     0% 63.04%     41.50s  3.95%  modernc.org/sqlite/lib._walLockShared
         0     0% 63.04%     41.31s  3.94%  runtime.semasleep
    41.26s  3.93% 66.97%     41.26s  3.93%  runtime.pthread_cond_wait
     0.01s 0.00095% 66.97%     41.18s  3.92%  runtime.notesleep
         0     0% 66.97%     41.16s  3.92%  github.com/domainry/domainry-agent-sdk/browsergateway.(*boundary).forwardConversation
