/tmp/c05-schema-projection-singleflight-final-race.test: stat /tmp/c05-schema-projection-singleflight-final-race.test: no such file or directory
Fetched 1 source profiles out of 2
Local symbolization failed for integrationtest.test: open /private/var/folders/5w/z9d657ts32zg837n0bvff0yh0000gn/T/go-build26273901/b001/integrationtest.test: no such file or directory
Some binary filenames not available. Symbolization may be incomplete.
Try setting PPROF_BINARY_PATH to the search path for local binaries.
File: integrationtest.test
Type: cpu
Time: 2026-09-14 20:31:18 CST
Duration: 292.45s, Total samples = 464.08s (158.69%)
Showing nodes accounting for 351.53s, 75.75% of 464.08s total
Dropped 2485 nodes (cum <= 2.32s)
Showing top 200 nodes out of 408
      flat  flat%   sum%        cum   cum%
         0     0% 69.63%     15.97s  3.44%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).readSharedBusinessSnapshot
         0     0% 69.63%     15.89s  3.42%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityApplicationService).ListMenus
         0     0% 69.63%     15.86s  3.42%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).ListMenus (inline)
     0.01s 0.0022% 69.64%     15.86s  3.42%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).ListIdentityMenus
         0     0% 69.64%     15.85s  3.42%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity/authorization/menu.(*Store).ListIdentityMenus (inline)
     0.01s 0.0022% 69.64%     15.85s  3.42%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity/authorization/menu.(*Store).LoadMenus
         0     0% 69.64%     15.73s  3.39%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).authorizeReleasedSourceRead
     3.50s  0.75% 70.39%     15.72s  3.39%  runtime.checkptrArithmetic
         0     0% 70.39%     15.61s  3.36%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).ConversationDelegation
     0.09s 0.019% 70.41%     15.56s  3.35%  github.com/domainry/domainry-identity/internal/domain/identity/service.identityPermissionStateFingerprint
         0     0% 70.41%     15.51s  3.34%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).publishedSourceContext
         0     0% 70.41%     15.42s  3.32%  github.com/domainry/domainry-runtime/runtime/bootstrap/runtime.newWithExtensionsUsingAllFactoriesAndStore
         0     0% 70.41%     15.41s  3.32%  github.com/domainry/domainry-runtime/runtime/bootstrap/runtime.NewWithScheduler
         0     0% 70.41%     15.38s  3.31%  github.com/domainry/domainry-runtime/runtime/bootstrap.NewWithScheduler (inline)
         0     0% 70.41%     15.23s  3.28%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity/projection/user.(*Store).ListWithinDataScope
         0     0% 70.41%     14.97s  3.23%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).ListIdentityUsers
         0     0% 70.41%     14.97s  3.23%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).loadUsers
         0     0% 70.41%     14.97s  3.23%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity/projection/user.(*Store).List (inline)
     0.01s 0.0022% 70.41%     14.82s  3.19%  modernc.org/sqlite/lib._sqlite3Reprepare
         0     0% 70.41%     14.62s  3.15%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).registeredExecutionCatalog
         0     0% 70.41%     14.43s  3.11%  github.com/domainry/domainry-tools/internal/application/tool.(*Combined).ConversationTools
     0.02s 0.0043% 70.42%     14.36s  3.09%  encoding/json.sliceEncoder.encode
     0.33s 0.071% 70.49%     14.34s  3.09%  encoding/json.arrayEncoder.encode
         0     0% 70.49%     14.24s  3.07%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.(*businessBrowser).call.func1
         0     0% 70.49%     14.23s  3.07%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).resolvePrincipalScopeIDs
         0     0% 70.49%     14.17s  3.05%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).authorizeCollaborationID
         0     0% 70.49%     13.83s  2.98%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).ListIdentityRoles
         0     0% 70.49%     13.83s  2.98%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).loadRoles
     0.02s 0.0043% 70.49%     13.83s  2.98%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity/authorization/role.(*Store).List
         0     0% 70.49%     13.71s  2.95%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).object
         0     0% 70.49%     13.69s  2.95%  github.com/domainry/domainry-agent/internal/application.(*collaborationToolHost).ConversationTools
     0.92s   0.2% 70.69%     13.56s  2.92%  encoding/json.structEncoder.encode
         0     0% 70.69%     13.18s  2.84%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).QueryIdentityRowContext
         0     0% 70.69%     12.95s  2.79%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.(*businessBrowser).call
         0     0% 70.69%     12.93s  2.79%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).publishedReferenceContext
    12.54s  2.70% 73.39%     12.54s  2.70%  racecall
         0     0% 73.39%     11.46s  2.47%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).executeConversationTool
         0     0% 73.39%     11.22s  2.42%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).ReadConversationDeliveryResult
         0     0% 73.39%     11.22s  2.42%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).authorizedDeliveryResult
    10.92s  2.35% 75.75%     10.92s  2.35%  __tsan::MemoryAccessRangeT
         0     0% 75.75%     10.72s  2.31%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.newBusinessWebFixtureWithModel
         0     0% 75.75%     10.70s  2.31%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).GetIdentityUser
