File: c05-schema-and-assessment-compaction-final-race.test
Type: cpu
Time: 2026-09-14 20:22:13 CST
Duration: 184.90s, Total samples = 326.16s (176.40%)
Showing nodes accounting for 287.91s, 88.27% of 326.16s total
Dropped 1867 nodes (cum <= 1.63s)
      flat  flat%   sum%        cum   cum%
         0     0% 72.30%      7.68s  2.35%  github.com/domainry/domainry-agent-sdk/browsergateway.NewHandler.(*boundary).authenticated.func6
         0     0% 72.30%      7.67s  2.35%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.(*businessBrowser).call.func1
         0     0% 72.30%      7.64s  2.34%  runtime.gcBgMarkWorker.func2
     0.20s 0.061% 72.36%      7.63s  2.34%  runtime.gcDrain
     7.62s  2.34% 74.70%      7.62s  2.34%  runtime.madvise
         0     0% 74.70%      7.44s  2.28%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).collaborationAuthorization
         0     0% 74.70%      7.44s  2.28%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).AuthorizeConversationCollaboration
         0     0% 74.70%      7.34s  2.25%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.(*businessBrowser).call
         0     0% 74.70%      7.12s  2.18%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).UpdateConversationDelegation
     2.93s   0.9% 75.59%      7.01s  2.15%  encoding/json.appendString[go.shape.string]
         0     0% 75.59%      6.97s  2.14%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).authorizeCollaboration
         0     0% 75.59%      6.88s  2.11%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).QueryIdentityContext
     0.01s 0.0031% 75.60%      6.77s  2.08%  runtime.gcBgMarkWorker
         0     0% 75.60%      6.68s  2.05%  runtime.resetspinning
     0.22s 0.067% 75.67%      6.66s  2.04%  runtime.mallocgc
         0     0% 75.67%      6.42s  1.97%  github.com/domainry/domainry-agent/internal/application.(*collaborationToolHost).AuthorizeConversationTool
         0     0% 75.67%      6.41s  1.97%  database/sql.(*DB).QueryRowContext
     2.08s  0.64% 76.30%      6.40s  1.96%  runtime.slicecopy
